ticker,year,name,shares,ffo,dividend,revenue,interest,ebitda,ebit,asset,equity,casti,debt
4334,2018-12-31,Almaather REIT,61370000,20770000,0,26700546,0,21782753,15303274,635675066,612698986,34254259,0
4334,2018-06-30,Almaather REIT,61370000,20660000,-15956200,25919007,0,20054175,13684804,643579518,621987983,20830774,0
4335,2022-06-30,Musharaka REIT,88000000,23730000,-26400000,50378195,-6159266,32196647,22284294,1689219900,845292143,76385360,790950626
4335,2021-12-31,Musharaka REIT,88000000,22870000,-25929920,45466587,-3154748,28443947,19758735,1441771036,858769600,63417153,547485451
4335,2021-06-30,Musharaka REIT,88000000,24400000,-26400000,43317443,-2118221,37653592,21163722,1347910809,870083736,24436410,453920907
4335,2020-12-31,Musharaka REIT,88000000,16660000,-30800000,42383117,-2911958,19034633,14899923,1354139832,881700719,50388091,450590558
4335,2020-06-30,Musharaka REIT,88000000,29960000,-30800000,51071743,-4657031,39342686,27706360,1337703192,899497474,44452671,402141220
4335,2019-12-31,Musharaka REIT,88000000,20960000,-30800000,47125850,-6508768,24509350,21395827,1273887151,907224375,72925844,337358711
4335,2019-06-30,Musharaka REIT,88000000,29020000,-24640000,47522626,-2117880,36825933,24914692,1362321612,889935822,159603060,424618383
4335,2018-12-31,Musharaka REIT,88000000,38170000,-30800000,56855773,-4228066,23116788,15623988,1057665310,848631161,60127521,159792309
4335,2018-06-30,Musharaka REIT,88000000,54710000,-30800000,66247848,-95551,55581148,42558006,1072484775,891662455,205180265,160726050
4336,2022-06-30,Mulkia Gulf REIT,68108652,15960000,-21113682,35350346,-8029992,26421388,17783140,1334405715,604678305,11584651,576081414
4336,2021-12-31,Mulkia Gulf REIT,68108652,19570000,-17708249,37246208,-4654236,24354656,18244406,1009699604,638850619,16835710,342009210
4336,2021-06-30,Mulkia Gulf REIT,68108652,25530000,-15664990,39277696,-4706798,30362350,24252098,1014054348,646703783,9724035,341959984
4336,2020-12-31,Mulkia Gulf REIT,68108652,13720000,-13621730,31865062,-7212727,20499910,14389060,1272018719,641694929,270854096,601594668
4336,2020-06-30,Mulkia Gulf REIT,68108652,18950000,-17400000,37587913,-7732032,29018876,23367147,1023122193,643111204,17788182,340762255
4336,2019-12-31,Mulkia Gulf REIT,60000000,15360000,-20400000,29998448,-7291249,24001901,19616977,872052339,573878182,69685530,258038666
4336,2019-06-30,Mulkia Gulf REIT,60000000,20350000,-20400000,29012731,-4402806,24919955,20947586,761393064,585696404,11719829,149178444
4336,2018-12-31,Mulkia Gulf REIT,60000000,22030000,-20400000,29617163,-2752257,25362583,21436808,757594468,586131983,26010030,149038515
4336,2018-06-30,Mulkia Gulf REIT,60000000,17960000,-16500000,26346566,-3326267,21448248,17832126,773074489,603409025,95003294,151000000
4337,2022-06-30,SICO Saudi REIT,57240000,14270000,-8586000,18281298,-2655072,39694872,34881583,672799273,515763456,15939467,150406137
4337,2021-12-31,SICO Saudi REIT,57240000,4620000,0,8402673,-2215998,4893067,2068176,654166663,502164162,15152916,150211551
4337,2021-06-30,SICO Saudi REIT,57240000,4720000,0,6775802,-1445910,6171163,1991753,658886454,495203917,18653908,149891640
4337,2020-12-31,SICO Saudi REIT,57240000,-640000,-5724000,-11394348,0,-633700,-4093109,501646098,501181695,1839189,0
4337,2020-06-30,SICO Saudi REIT,57240000,5950000,-14882400,19223663,0,5957026,2497617,549720315,549068805,9031461,0
4337,2019-12-31,SICO Saudi REIT,57240000,15620000,-14882400,19679573,0,15820285,12360876,578795553,576826393,19538386,0
4337,2019-06-30,SICO Saudi REIT,57240000,15430000,-14882400,19263771,0,15534554,12075145,581187303,579347917,18510935,0
4337,2018-12-31,SICO Saudi REIT,57240000,15360000,-14882400,19708610,0,15642961,12183552,583874788,582155172,17820692,0
4337,2018-06-30,SICO Saudi REIT,57240000,15750000,0,19909309,0,15913429,12454020,604709695,584008553,36063177,0
4338,2022-06-30,Alahli REIT,137500000,50760000,-48125000,92695000,-7520000,59044000,47023000,1954368000,1292775000,16648000,559076000
